hour,week_day,id_day_type,day_hour,appliance_electricity_dpt1,hot_water_dpt1,occupancy_dpt1,ventilation_supply_temperature_dpt1,appliance_electricity_dpt2,hot_water_dpt2,occupancy_dpt2,ventilation_supply_temperature_dpt2,appliance_electricity_dpt3,hot_water_dpt3,occupancy_dpt3,ventilation_supply_temperature_dpt3,appliance_electricity_dpt4,hot_water_dpt4,occupancy_dpt4,ventilation_supply_temperature_dpt4,appliance_electricity_dpt5,hot_water_dpt5,occupancy_dpt5,ventilation_supply_temperature_dpt5,appliance_electricity_dpt6,hot_water_dpt6,occupancy_dpt6,ventilation_supply_temperature_dpt6,appliance_electricity_dpt7,hot_water_dpt7,occupancy_dpt7,ventilation_supply_temperature_dpt7,appliance_electricity_dpt8,hot_water_dpt8,occupancy_dpt8,ventilation_supply_temperature_dpt8,appliance_electricity_dpt9,hot_water_dpt9,occupancy_dpt9,ventilation_supply_temperature_dpt9,appliance_electricity_dpt10,hot_water_dpt10,occupancy_dpt10,ventilation_supply_temperature_dpt10,appliance_electricity_dpt11,hot_water_dpt11,occupancy_dpt11,ventilation_supply_temperature_dpt11,appliance_electricity_dpt12,hot_water_dpt12,occupancy_dpt12,ventilation_supply_temperature_dpt12,appliance_electricity_dpt13,hot_water_dpt13,occupancy_dpt13,ventilation_supply_temperature_dpt13,appliance_electricity_dpt14,hot_water_dpt14,occupancy_dpt14,ventilation_supply_temperature_dpt14
21,2,1,21,670.1794365,13439.5,1,19.174656,2790.688351,13439.5,1,19.174656,533.1934593,13439.5,1,19.174656,2205.387791,13439.5,1,19.174656,414.5074132,13439.5,1,19.174656,1738.123588,13439.5,1,19.174656,3334.170447,23.6658,0,19,28192.43767,23.6658,0,16,3334.170447,23.6658,0,19,19265.511,23.6658,0,16,3334.170447,23.6658,0,19,10426.16478,23.6658,0,16,3334.170447,23.6658,0,19,11554.07339,23.6658,0,16
22,2,1,22,470.3673134,13439.5,1,19.164691,1975.245836,13439.5,1,19.164691,416.4242611,13439.5,1,19.164691,1726.273276,13439.5,1,19.164691,362.3884521,13439.5,1,19.164691,1516.575696,13439.5,1,19.164691,3333.578127,22.5497,0,19,28191.35487,22.5497,0,16,3333.578127,22.5497,0,19,19264.4282,22.5497,0,16,3333.578127,22.5497,0,19,10425.08198,22.5497,0,16,3333.578127,22.5497,0,19,11552.99059,22.5497,0,16
23,2,1,23,271.7672586,10335.6,1,19.124831,1152.453111,10335.6,1,19.124831,280.1064001,10335.6,1,19.124831,1155.726551,10335.6,1,19.124831,247.424486,10335.6,1,19.124831,1032.513315,10335.6,1,19.124831,3337.132048,20.8995,0,19,28197.85167,20.8995,0,16,3337.132048,20.8995,0,19,19270.925,20.8995,0,16,3337.132048,20.8995,0,19,7832.929915,20.8995,0,16,3337.132048,20.8995,0,19,8284.093357,20.8995,0,16
24,2,1,24,260.8633456,8007.72,1,19.055076,1117.805327,8007.72,1,19.055076,289.9632184,8007.72,1,19.055076,1205.160767,8007.72,1,19.055076,264.3992693,8007.72,1,19.055076,1110.775644,8007.72,1,19.055076,3346.609171,18.7029,0,19,28215.17648,18.7029,0,16,3346.609171,18.7029,0,19,19288.24981,18.7029,0,16,3346.609171,18.7029,0,19,7850.254721,18.7029,0,16,3346.609171,18.7029,0,19,8301.418163,18.7029,0,16
25,3,1,1,94.66452817,3093.28,1,19.055076,410.2129554,3093.28,1,19.055076,144.5251322,3093.28,1,19.055076,581.6503954,3093.28,1,19.055076,126.0791481,3093.28,1,19.055076,516.0933874,3093.28,1,19.055076,3360.232536,17.4246,0,19,28240.08089,17.4246,0,16,3360.232536,17.4246,0,19,19313.15422,17.4246,0,16,3360.232536,17.4246,0,19,7875.15913,17.4246,0,16,3360.232536,17.4246,0,19,8326.322572,17.4246,0,16
26,3,1,2,94.66452817,1286.22,1,19.061055,410.2129554,1286.22,1,19.061055,144.5251322,1286.22,1,19.061055,581.6503954,1286.22,1,19.061055,126.0791481,1286.22,1,19.061055,516.0933874,1286.22,1,19.061055,3374.152061,16.6558,0,19,28265.5267,16.6558,0,16,3374.152061,16.6558,0,19,19338.60003,16.6558,0,16,3374.152061,16.6558,0,19,7900.604939,16.6558,0,16,3374.152061,16.6558,0,19,8351.76838,16.6558,0,16
27,3,1,3,94.66452817,255.128,1,19.080985,410.2129554,255.128,1,19.080985,144.5251322,255.128,1,19.080985,581.6503954,255.128,1,19.080985,126.0791481,255.128,1,19.080985,516.0933874,255.128,1,19.080985,3385.998465,16.6638,0,19,28287.1827,16.6638,0,16,3385.998465,16.6638,0,19,19360.25603,16.6638,0,16,3385.998465,16.6638,0,19,7922.260946,16.6638,0,16,3385.998465,16.6638,0,19,8373.424388,16.6638,0,16
28,3,1,4,94.66452817,513.783,1,19.15074,410.2129554,513.783,1,19.15074,144.5251322,513.783,1,19.15074,581.6503954,513.783,1,19.15074,126.0791481,513.783,1,19.15074,516.0933874,513.783,1,19.15074,3396.660229,16.8621,0,19,28306.67311,16.8621,0,16,3396.660229,16.8621,0,19,19379.74644,16.8621,0,16,3396.660229,16.8621,0,19,7941.751353,16.8621,0,16,3396.660229,16.8621,0,19,8392.914795,16.8621,0,16
29,3,1,5,139.1518094,1803.53,1,19.128817,590.3886697,1803.53,1,19.128817,168.2516822,1803.53,1,19.128817,677.7441097,1803.53,1,19.128817,142.6877331,1803.53,1,19.128817,583.3589874,1803.53,1,19.128817,3408.802793,17.6905,0,19,28328.87052,17.6905,0,16,3408.802793,17.6905,0,19,19401.94385,17.6905,0,16,3408.802793,17.6905,0,19,7963.948761,17.6905,0,16,3408.802793,17.6905,0,19,8415.112203,17.6905,0,16
30,3,1,6,317.1009344,6973.1,1,19.13081,1311.091527,6973.1,1,19.13081,263.1578822,6973.1,1,19.13081,1062.118967,6973.1,1,19.13081,209.1220731,6973.1,1,19.13081,852.4213874,6973.1,1,19.13081,3425.980079,18.8318,0,19,28360.27173,18.8318,0,16,3425.980079,18.8318,0,19,19433.34506,18.8318,0,16,3425.980079,18.8318,0,19,10593.99884,18.8318,0,16,3425.980079,18.8318,0,19,11721.90745,18.8318,0,16
